user_id,has_prior_experience,round_number,num_tests,time_per_test_seconds,total_test_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
5f24956d52c72509677c5d85,False,1,1,[140.561],140.561,186.882,"[0, 2, 3]","[0, 3]",False,When 1 and 4 are on the machine turns on,conjunctive,conjunctive,True
5f24956d52c72509677c5d85,False,2,1,[6.647],6.647,35.327,"[0, 3]","[0, 1]",False,object 2 turns on machine,conjunctive,conjunctive,True
5f24956d52c72509677c5d85,False,3,1,[7.583],7.583,34.071,[3],"[1, 3]",False,object 4 turns the machine on!!!,disjunctive,disjunctive,True
5f4412624052727181839e3a,False,1,11,"[4.593, 3.649, 2.684, 2.679, 1.902, 4.846, 6.493, 4.583, 6.726, 3.445, 5.861]",47.461,95.195,"[1, 2]","[1, 2]",True,The machine turns on when any or both of object 2 and 3 are involved.,disjunctive,disjunctive,True
5f4412624052727181839e3a,False,2,9,"[5.345, 2.586, 2.937, 2.978, 3.07, 3.199, 4.974, 4.075, 7.621]",36.785,86.33,"[0, 3]","[0, 3]",True,"When any of object 1 and/or 4 is involved, the machine will turn on. None of the others matter.",disjunctive,disjunctive,True
5f4412624052727181839e3a,False,3,14,"[6.054, 3.414, 2.665, 2.536, 2.535, 1.986, 3.616, 5.248, 3.263, 4.581, 5.379, 2.64, 3.137, 4.501]",51.555,358.632,"[1, 3]","[1, 3]",True,For the machine to turn on object 2 AND 4 must be on the machine.,conjunctive,conjunctive,True
60de11d08bb67fc2a1e19c6a,False,1,6,"[9.561, 5.478, 3.06, 3.041, 6.94, 4.289]",32.369,201.242,"[1, 2]","[1, 2]",True,Machine turns on when there is one or more Nexioms regardless of other non-Nexioms.,disjunctive,disjunctive,True
60de11d08bb67fc2a1e19c6a,False,2,11,"[6.109, 6.428, 3.722, 4.66, 5.735, 5.109, 4.2, 7.774, 5.844, 11.448, 28.733]",89.762,225.285,"[0, 3]","[0, 3]",True,The machine is on if any of the objects is a Nexiom regardless if other non-Nexioms are present.,disjunctive,disjunctive,True
60de11d08bb67fc2a1e19c6a,False,3,12,"[3.786, 3.914, 5.131, 4.351, 3.878, 3.711, 3.871, 8.599, 6.068, 4.58, 10.813, 5.42]",64.122,158.605,"[0, 2]","[0, 2]",True,The machine is on if both Nexioms are in; those are object 1 and object 3.,conjunctive,conjunctive,True
60fd29f9a87256295399a571,False,1,7,"[5.46, 7.764, 2.92, 9.202, 3.016, 2.247, 17.821]",48.43,89.013,"[1, 2]","[1, 2]",True,both 2 and 3,conjunctive,conjunctive,True
60fd29f9a87256295399a571,False,2,4,"[4.167, 6.468, 3.879, 3.172]",17.686,35.22,"[2, 3]","[2, 3]",True,Both 3 and 4,conjunctive,conjunctive,True
60fd29f9a87256295399a571,False,3,3,"[4.897, 2.791, 3.307]",10.995,25.887,"[0, 1, 2, 3]","[0, 1]",False,all of them have to be on,conjunctive,disjunctive,False
62029a55ef1cb18a1337c61a,False,1,14,"[3.095, 3.798, 3.762, 4.489, 9.07, 3.621, 3.345, 6.217, 3.945, 5.071, 7.22, 5.758, 5.579, 3.335]",68.305,114.039,"[0, 3]","[0, 3]",True,You need both Object 1 and Object 4 to turn on the machine,conjunctive,conjunctive,True
62029a55ef1cb18a1337c61a,False,2,14,"[3.51, 4.441, 6.298, 2.85, 4.496, 5.75, 3.011, 8.152, 3.281, 3.929, 8.792, 3.563, 5.208, 4.017]",67.298,90.39,"[1, 3]","[1, 3]",True,You need object 2 and object 4 to turn on the machine,conjunctive,conjunctive,True
