id,comprehension_num_tests,comprehension_blicket_correct,comprehension_prior_experience,round1_num_tests,round1_test_times,round1_total_time,round1_true_blickets,round1_chosen_blickets,round1_inferred_rule,round1_chosen_rule,round2_num_tests,round2_test_times,round2_total_time,round2_true_blickets,round2_chosen_blickets,round2_inferred_rule,round2_chosen_rule,round3_num_tests,round3_test_times,round3_total_time,round3_true_blickets,round3_chosen_blickets,round3_inferred_rule,round3_chosen_rule
587625efdb3e720001e233fb,0,,,0,,,,,,,0,,,,,,,0,,,,,,
5c4b987538878c0001c7883b,3,,,16,,148.671,"[0, 3]","[0, 3]",conjunctive,conjunctive,16,,130.133,"[1, 3]","[0, 1, 2, 3]",conjunctive,conjunctive,16,,110.381,"[1, 2]","[1, 2]",disjunctive,disjunctive
5c8c22bafeeaeb0016207a00,5,,,14,,169.862,"[0, 2]","[0, 2]",conjunctive,conjunctive,11,,114.162,"[2, 3]",[3],conjunctive,conjunctive,10,,119.533,"[0, 1]","[0, 1]",disjunctive,disjunctive
5e96e85aa7f126177e00ea9f,5,,,13,,379.643,"[2, 3]","[2, 3]",conjunctive,conjunctive,13,,108.541,"[1, 3]","[1, 3]",conjunctive,conjunctive,10,,67.688,"[0, 1]","[0, 1]",disjunctive,disjunctive
5f24956d52c72509677c5d85,1,,False,1,140.561,186.882,"[0, 3]","[0, 2, 3]",conjunctive,conjunctive,1,6.647,35.327,"[0, 1]","[0, 3]",conjunctive,conjunctive,1,7.583,34.071,"[1, 3]",[3],disjunctive,disjunctive
5f4412624052727181839e3a,5,,False,11,"4.593,3.649,2.684,2.679,1.902,4.846,6.493,4.583,6.726,3.445,5.861",95.195,"[1, 2]","[1, 2]",disjunctive,disjunctive,9,"5.345,2.586,2.937,2.978,3.07,3.199,4.974,4.075,7.621",86.33,"[0, 3]","[0, 3]",disjunctive,disjunctive,14,"6.054,3.414,2.665,2.536,2.535,1.986,3.616,5.248,3.263,4.581,5.379,2.64,3.137,4.501",358.632,"[1, 3]","[1, 3]",conjunctive,conjunctive
6007421356226920359b5f3e,1,,,14,,222.444,"[1, 3]","[1, 3]",conjunctive,conjunctive,10,,76.92,"[0, 3]","[0, 3]",disjunctive,disjunctive,9,,80.236,"[2, 3]","[2, 3]",disjunctive,disjunctive
60cf0d251a90eb823bc9b740,5,,,10,,176.937,"[0, 1]","[0, 1]",disjunctive,disjunctive,13,,110.557,"[0, 3]","[0, 3]",disjunctive,disjunctive,14,,126.276,"[1, 3]","[1, 3]",conjunctive,conjunctive
60de11d08bb67fc2a1e19c6a,4,,False,6,"9.561,5.478,3.06,3.041,6.94,4.289",201.242,"[1, 2]","[1, 2]",disjunctive,disjunctive,11,"6.109,6.428,3.722,4.66,5.735,5.109,4.2,7.774,5.844,11.448,28.733",225.285,"[0, 3]","[0, 3]",disjunctive,disjunctive,12,"3.786,3.914,5.131,4.351,3.878,3.711,3.871,8.599,6.068,4.58,10.813,5.42",158.605,"[0, 2]","[0, 2]",conjunctive,conjunctive
60fd29f9a87256295399a571,3,,False,7,"5.46,7.764,2.92,9.202,3.016,2.247,17.821",89.013,"[1, 2]","[1, 2]",conjunctive,conjunctive,4,"4.167,6.468,3.879,3.172",35.22,"[2, 3]","[2, 3]",conjunctive,conjunctive,3,"4.897,2.791,3.307",25.887,"[0, 1]","[0, 1, 2, 3]",conjunctive,conjunctive
62029a55ef1cb18a1337c61a,4,,False,14,"3.095,3.798,3.762,4.489,9.07,3.621,3.345,6.217,3.945,5.071,7.22,5.758,5.579,3.335",114.039,"[0, 3]","[0, 3]",conjunctive,conjunctive,14,"3.51,4.441,6.298,2.85,4.496,5.75,3.011,8.152,3.281,3.929,8.792,3.563,5.208,4.017",90.39,"[1, 3]","[1, 3]",conjunctive,conjunctive,4,"4.012,4.251,3.327,3.275",36.715,"[2, 3]","[2, 3]",disjunctive,disjunctive
628deac8711dee5dbda650ae,3,,False,0,,,,,,,0,,,,,,,0,,,,,,
628eada3a9c9e0776884f27d,5,,False,10,"7.819,6.328,3.773,2.942,3.744,5.067,7.742,3.235,15.188,4.946",155.362,"[2, 3]","[1, 2, 3]",conjunctive,conjunctive,14,"5.002,5.689,3.152,4.471,3.304,3.12,4.547,5.465,5.047,7.384,4.242,10.311,34.602,17.031",154.978,"[1, 3]","[1, 3]",conjunctive,conjunctive,9,"3.862,4.905,5.424,4.92,7.398,4.463,3.939,4.683,3.931",75.439,"[0, 2]","[0, 2]",conjunctive,conjunctive
6306710aa6766730321f1259,4,,,5,,78.681,"[0, 3]","[0, 3]",disjunctive,disjunctive,10,,82.571,"[0, 1]","[0, 1]",conjunctive,conjunctive,5,,51.828,"[1, 2]","[1, 2]",conjunctive,conjunctive
63f8083b81d600b33e288f21,5,,False,8,"23.563,4.376,6.155,8.729,21.385,5.096,5.447,8.28",216.727,"[0, 3]","[0, 3]",disjunctive,disjunctive,7,"10.547,8.182,4.17,10.762,13.251,11.811,20.346",158.24,"[2, 3]","[2, 3]",disjunctive,disjunctive,11,"5.741,3.094,3.978,6.664,12.964,3.933,11.631,11.435,31.078,22.449,21.515",241.159,"[0, 2]","[0, 2]",conjunctive,conjunctive
64136981aa9af9154f69c8d7,4,,,4,,100.15,"[0, 3]",,conjunctive,conjunctive,6,,83.624,"[1, 3]","[1, 3]",disjunctive,disjunctive,6,,64.044,"[2, 3]","[2, 3]",disjunctive,disjunctive
6448e3fb68d60f161a38f5c9,5,,,9,,141.234,"[0, 2]","[0, 2]",conjunctive,conjunctive,12,,121.678,"[0, 1]","[0, 1]",conjunctive,conjunctive,6,,74.179,"[2, 3]","[2, 3]",disjunctive,disjunctive
663e3cebf22215cffd238d3e,5,,False,8,"4.263,3.651,3.079,2.327,5.058,4.254,6.758,3.938",107.821,"[0, 3]","[0, 3]",disjunctive,disjunctive,9,"2.373,5.154,2.433,2.514,4.293,5.732,4.285,5.309,4.839",87.409,"[1, 2]","[1, 2]",disjunctive,disjunctive,13,"2.406,3.364,3.46,2.592,3.278,5.318,4.076,4.463,4.804,4.402,4.394,7.113,3.118",110.703,"[0, 2]","[0, 2]",conjunctive,conjunctive
668ef254bc2ae7eae4f06805,3,,False,2,"9.437,9.525",102.431,"[2, 3]",[2],disjunctive,disjunctive,8,"9.506,6.106,6.869,4.03,6.535,13.73,4.732,8.697",158.391,"[0, 1]","[0, 1, 2, 3]",disjunctive,disjunctive,10,"10.426,4.575,3.529,2.915,7.444,9.218,3.591,13.146,10.645,7.722",120.184,"[0, 3]","[0, 3]",conjunctive,conjunctive
669a80310e64395f4edd70b6,4,,,4,,236.787,"[1, 2]","[1, 2]",disjunctive,disjunctive,4,,95.987,"[0, 1]","[0, 1]",disjunctive,disjunctive,7,,73.295,"[1, 3]",,conjunctive,conjunctive
66aa5c3f0d9d6bcf931c3533,5,,False,8,"8.121,7.268,4.774,5.027,7.31,12.011,6.753,6.236",206.584,"[0, 1]","[0, 1]",disjunctive,disjunctive,9,"4.571,5.32,4.061,3.599,5.79,4.461,3.763,11.416,8.639",129.507,"[0, 3]","[0, 3]",disjunctive,disjunctive,16,"4.096,4.355,4.349,4.291,7.501,4.481,4.218,7.815,5.747,7.062,16.199,5.84,5.963,7.529,13.231,9.11",201.29,"[2, 3]",[3],conjunctive,conjunctive
6722ea20fb84b196f0a649b6,3,,,6,,121.286,"[2, 3]","[2, 3]",disjunctive,disjunctive,8,,111.375,"[1, 2]","[0, 1, 2]",disjunctive,disjunctive,8,,92.354,"[1, 3]","[1, 3]",conjunctive,conjunctive
676b11ba7e6d9f1310e3903a,0,,,0,,,,,,,0,,,,,,,0,,,,,,
67d43f5c7253c147df75e9e5,5,,,10,,535.831,"[1, 3]","[1, 3]",disjunctive,disjunctive,8,,387.394,"[2, 3]","[2, 3]",disjunctive,disjunctive,9,,237.547,"[0, 1]",[0],disjunctive,disjunctive
