user_id,round_number,num_tests,time_per_test_seconds,total_test_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
5c4b987538878c0001c7883b,1,0,[],,148.671,"[0, 3]","[0, 3]",True,The Nexiom machine only detects Nexioms 1 and 4 if they are on the platform together.,conjunctive,conjunctive,True
5c4b987538878c0001c7883b,2,0,[],,130.133,"[0, 1, 2, 3]","[1, 3]",False,Conjunctive - all Nexioms must be tested together to work.,conjunctive,conjunctive,True
5c4b987538878c0001c7883b,3,0,[],,110.381,"[1, 2]","[1, 2]",True,Nexioms 2 and 3 act independently.,disjunctive,disjunctive,True
5c8c22bafeeaeb0016207a00,1,0,[],,169.862,"[0, 2]","[0, 2]",True,If Objects 1 and 4 are on- the other two can be on or off,conjunctive,conjunctive,True
5c8c22bafeeaeb0016207a00,2,0,[],,114.162,[3],"[2, 3]",False,If Objects 3 and 4 are on- the other two can be on or off,conjunctive,conjunctive,True
5c8c22bafeeaeb0016207a00,3,0,[],,119.533,"[0, 1]","[0, 1]",True,"If at least either Object 1 or 2 are on, the others can be on or off",disjunctive,disjunctive,True
5e96e85aa7f126177e00ea9f,1,0,[],,379.643,"[2, 3]","[2, 3]",True,"If both 3 and 4 are chosen, then the machine will switch on.",conjunctive,conjunctive,True
5e96e85aa7f126177e00ea9f,2,0,[],,108.541,"[1, 3]","[1, 3]",True,"If both 2 and 4 are chosen, then the machine turns on.",conjunctive,conjunctive,True
5e96e85aa7f126177e00ea9f,3,0,[],,67.688,"[0, 1]","[0, 1]",True,"If either 1 or 2 is chosen, then the machine will turn on.",disjunctive,disjunctive,True
5f24956d52c72509677c5d85,1,1,[140.561],140.561,186.882,"[0, 2, 3]","[0, 3]",False,When 1 and 4 are on the machine turns on,conjunctive,conjunctive,True
5f24956d52c72509677c5d85,2,1,[6.647],6.647,35.327,"[0, 3]","[0, 1]",False,object 2 turns on machine,conjunctive,conjunctive,True
5f24956d52c72509677c5d85,3,1,[7.583],7.583,34.071,[3],"[1, 3]",False,object 4 turns the machine on!!!,disjunctive,disjunctive,True
5f4412624052727181839e3a,1,11,"[4.593, 3.649, 2.684, 2.679, 1.902, 4.846, 6.493, 4.583, 6.726, 3.445, 5.861]",47.461,95.195,"[1, 2]","[1, 2]",True,The machine turns on when any or both of object 2 and 3 are involved.,disjunctive,disjunctive,True
5f4412624052727181839e3a,2,9,"[5.345, 2.586, 2.937, 2.978, 3.07, 3.199, 4.974, 4.075, 7.621]",36.785,86.33,"[0, 3]","[0, 3]",True,"When any of object 1 and/or 4 is involved, the machine will turn on. None of the others matter.",disjunctive,disjunctive,True
5f4412624052727181839e3a,3,14,"[6.054, 3.414, 2.665, 2.536, 2.535, 1.986, 3.616, 5.248, 3.263, 4.581, 5.379, 2.64, 3.137, 4.501]",51.555,358.632,"[1, 3]","[1, 3]",True,For the machine to turn on object 2 AND 4 must be on the machine.,conjunctive,conjunctive,True
6007421356226920359b5f3e,1,0,[],,222.444,"[1, 3]","[1, 3]",True,Both object 2 and object 4 need to be on platform,conjunctive,conjunctive,True
6007421356226920359b5f3e,2,0,[],,76.92,"[0, 3]","[0, 3]",True,"Either object 1, 4 or both need to be on platform",disjunctive,disjunctive,True
6007421356226920359b5f3e,3,0,[],,80.236,"[2, 3]","[2, 3]",True,"Either object 3, object 4, or both objects 3 and 4 need to be on platform",disjunctive,disjunctive,True
60cf0d251a90eb823bc9b740,1,0,[],,176.937,"[0, 1]","[0, 1]",True,Either 1 or 2 has to be on machine to turn on Nexiom machine,disjunctive,disjunctive,True
60cf0d251a90eb823bc9b740,2,0,[],,110.557,"[0, 3]","[0, 3]",True,"If Object 4 OR Object 1 are on the machine, it will turn on",disjunctive,disjunctive,True
60cf0d251a90eb823bc9b740,3,0,[],,126.276,"[1, 3]","[1, 3]",True,Machine will turn on only when objects 2 and 4 are on the machine at the same time,conjunctive,conjunctive,True
60de11d08bb67fc2a1e19c6a,1,6,"[9.561, 5.478, 3.06, 3.041, 6.94, 4.289]",32.369,201.242,"[1, 2]","[1, 2]",True,Machine turns on when there is one or more Nexioms regardless of other non-Nexioms.,disjunctive,disjunctive,True
60de11d08bb67fc2a1e19c6a,2,11,"[6.109, 6.428, 3.722, 4.66, 5.735, 5.109, 4.2, 7.774, 5.844, 11.448, 28.733]",89.762,225.285,"[0, 3]","[0, 3]",True,The machine is on if any of the objects is a Nexiom regardless if other non-Nexioms are present.,disjunctive,disjunctive,True
60de11d08bb67fc2a1e19c6a,3,12,"[3.786, 3.914, 5.131, 4.351, 3.878, 3.711, 3.871, 8.599, 6.068, 4.58, 10.813, 5.42]",64.122,158.605,"[0, 2]","[0, 2]",True,The machine is on if both Nexioms are in; those are object 1 and object 3.,conjunctive,conjunctive,True
60fd29f9a87256295399a571,1,7,"[5.46, 7.764, 2.92, 9.202, 3.016, 2.247, 17.821]",48.43,89.013,"[1, 2]","[1, 2]",True,both 2 and 3,conjunctive,conjunctive,True
60fd29f9a87256295399a571,2,4,"[4.167, 6.468, 3.879, 3.172]",17.686,35.22,"[2, 3]","[2, 3]",True,Both 3 and 4,conjunctive,conjunctive,True
60fd29f9a87256295399a571,3,3,"[4.897, 2.791, 3.307]",10.995,25.887,"[0, 1, 2, 3]","[0, 1]",False,all of them have to be on,conjunctive,disjunctive,False
62029a55ef1cb18a1337c61a,1,14,"[3.095, 3.798, 3.762, 4.489, 9.07, 3.621, 3.345, 6.217, 3.945, 5.071, 7.22, 5.758, 5.579, 3.335]",68.305,114.039,"[0, 3]","[0, 3]",True,You need both Object 1 and Object 4 to turn on the machine,conjunctive,conjunctive,True
62029a55ef1cb18a1337c61a,2,14,"[3.51, 4.441, 6.298, 2.85, 4.496, 5.75, 3.011, 8.152, 3.281, 3.929, 8.792, 3.563, 5.208, 4.017]",67.298,90.39,"[1, 3]","[1, 3]",True,You need object 2 and object 4 to turn on the machine,conjunctive,conjunctive,True
62029a55ef1cb18a1337c61a,3,4,"[4.012, 4.251, 3.327, 3.275]",14.865,36.715,"[2, 3]","[2, 3]",True,You can turn on the Nexium machine with EITHER object 3 or object 4,disjunctive,disjunctive,True
628eada3a9c9e0776884f27d,1,10,"[7.819, 6.328, 3.773, 2.942, 3.744, 5.067, 7.742, 3.235, 15.188, 4.946]",60.784,155.362,"[1, 2, 3]","[2, 3]",False,Object 4 is always a Nexiom. Objects 2 and 3 are a Nexiom when they are together.,conjunctive,disjunctive,False
628eada3a9c9e0776884f27d,2,14,"[5.002, 5.689, 3.152, 4.471, 3.304, 3.12, 4.547, 5.465, 5.047, 7.384, 4.242, 10.311, 34.602, 17.031]",113.367,154.978,"[1, 3]","[1, 3]",True,Objects 2 and 4 are Nexioms together and not separately.,conjunctive,conjunctive,True
628eada3a9c9e0776884f27d,3,9,"[3.862, 4.905, 5.424, 4.92, 7.398, 4.463, 3.939, 4.683, 3.931]",43.525,75.439,"[0, 2]","[0, 2]",True,1 and 3 are Nexioms when they are together only.,conjunctive,conjunctive,True
6306710aa6766730321f1259,1,0,[],,78.681,"[0, 3]","[0, 3]",True,it switches on when at least one item is a nexiom,disjunctive,disjunctive,True
6306710aa6766730321f1259,2,0,[],,82.571,"[0, 1]","[0, 1]",True,all nexioms have to be engaged for the machine to activate,conjunctive,conjunctive,True
6306710aa6766730321f1259,3,0,[],,51.828,"[1, 2]","[1, 2]",True,at least one nexiom have to be activated for the machine to switch on,conjunctive,disjunctive,False
63f8083b81d600b33e288f21,1,8,"[23.563, 4.376, 6.155, 8.729, 21.385, 5.096, 5.447, 8.28]",83.031,216.727,"[0, 3]","[0, 3]",True,"If object 1 or object 4 is on the platform, the machine will turn on.",disjunctive,disjunctive,True
63f8083b81d600b33e288f21,2,7,"[10.547, 8.182, 4.17, 10.762, 13.251, 11.811, 20.346]",79.069,158.24,"[2, 3]","[2, 3]",True,"If object 3 or object 4 is on the platform, the machine turns on.",disjunctive,disjunctive,True
