user_id,exploration_time_seconds,total_test_time_seconds,total_round_time_seconds,num_tests,time_per_test_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct,action_history_length
558955ebfdf99b6bd06016c9,115.832,115.833,239.436,15,"[5.849, 5.83, 8.222, 7.596, 20.509, 5.761, 16.701, 5.27, 9.616, 4.127, 5.799, 9.452, 3.626, 4.167, 3.308]","[1, 3]","[1, 3]",True,The machine turns on if both object 2 and object 4 are on the platform.,conjunctive,conjunctive,True,59
56e32190e414dc000c8b40ae,84.955,84.955,181.033,7,"[31.399, 12.035, 11.065, 6.998, 8.383, 7.085, 7.99]","[1, 2]","[1, 2]",True,If at least one Nexiom is selected the machine will turn on.,disjunctive,disjunctive,True,23
58380cb9f1faf8000129673a,134.264,134.264,300.518,10,"[23.539, 7.081, 7.074, 3.548, 11.611, 16.635, 13.23, 4.756, 21.034, 25.756]","[0, 1]","[0, 1]",True,The machine will turn on if it has at least one Nexiom on the machine.,disjunctive,disjunctive,True,37
589f4b4b4d580c0001e0a155,24.162,24.162,72.69,4,"[10.856, 4.967, 5.4, 2.939]","[0, 2]","[0, 2]",True,Odd numbered objects turn on the NExiom machine.,disjunctive,disjunctive,True,12
58d834cec207720001e2e750,192.636,192.634,277.023,13,"[114.305, 1.77, 3.137, 2.31, 2.47, 3.805, 15.551, 8.851, 6.747, 9.096, 17.195, 3.363, 4.034]","[0, 2]","[0, 2]",True,"the nexiom machine only switches on when all nexioms are in the machine which is why it only turns on when 1 and 3 are both on the platform, but not when only of them is on",conjunctive,conjunctive,True,56
594a969df0ea1b0001558178,67.761,67.762,155.535,12,"[4.805, 6.03, 7.31, 13.811, 3.461, 4.184, 4.087, 4.853, 3.522, 3.826, 7.646, 4.227]","[0, 1, 2, 3]","[1, 2]",False,Object 3 alone does not turn on the machine but 3 with any other object will turn it on.,disjunctive,conjunctive,False,34
5bdc6d16d9bc4e0001134779,21.226,21.226,64.666,4,"[4.42, 7.228, 4.363, 5.215]","[0, 1]","[0, 1]",True,When item 1 or 2 is placed on the platform the machine turns on,disjunctive,disjunctive,True,11
5c04872c55614800012b7cf0,90.736,90.737,225.876,13,"[3.929, 4.167, 5.082, 5.627, 6.897, 4.762, 4.394, 8.677, 5.122, 7.254, 9.503, 17.901, 7.422]","[1, 3]","[1, 3]",True,"Two and Four are needed to turn on the machine. You can have 1 and 3 on, but they don't matter. It's just two and four that both need to be on.",conjunctive,conjunctive,True,43
5c3bdbf548ad2900017fac31,24.081,24.081,77.865,4,"[6.288, 5.203, 8.621, 3.969]",[],"[0, 3]",False,"When there are any objects in the machine that are Nexioms, the machine will be on.",disjunctive,conjunctive,False,13
5c452213a6c3df0001d2014f,49.891,49.89,183.712,8,"[14.393, 3.534, 4.68, 3.809, 5.494, 6.578, 10.469, 0.933]","[0, 1]","[0, 1]",True,"If object 1 or 2 is on the platform, the Nexiom machine will turn on. Both can be placed at the same time or individually, and the Nexiom machine will turn on.",disjunctive,disjunctive,True,26
5c50046b2b89f500015e5f6b,107.831,107.831,150.861,9,"[6.795, 10.12, 6.753, 8.131, 65.333, 2.153, 3.233, 2.588, 2.725]","[0, 1]","[0, 1]",True,Both Object 1 and 2 must be on to turn on this Nexiom machine,conjunctive,conjunctive,True,25
5d439cb393066e001a5a4d26,153.819,153.82,234.11,6,"[92.972, 10.595, 6.42, 8.043, 22.131, 13.659]","[2, 3]","[2, 3]",True,The nexiom machine switches on whenever a Nexiom is placed on the platform.,disjunctive,disjunctive,True,19
5dac4dad5e53cc001499f1f6,66.479,66.48,175.029,8,"[10.939, 8.871, 6.353, 4.366, 6.288, 11.516, 11.398, 6.749]","[2, 3]","[2, 3]",True,Both C and D must be added to turn machine on. Adding A and B is allowed but only with both C and D placed,conjunctive,conjunctive,True,24
5e3b759740e302397f294a2d,27.682,27.682,124.208,4,"[12.801, 7.902, 3.116, 3.863]","[0, 3]","[0, 3]",True,If either object 1 or object 4 are on the platform it will turn on,disjunctive,disjunctive,True,14
5e3f778e91be661ca60e3540,113.523,113.523,245.082,10,"[6.29, 23.034, 6.721, 21.446, 8.354, 21.104, 9.059, 5.126, 5.614, 6.775]","[1, 3]","[1, 3]",True,When Object 2 is paired with Object 4  the machine activates,conjunctive,conjunctive,True,28
5e63e793e50a6316a75213c4,178.302,178.303,411.795,16,"[12.331, 11.206, 6.231, 5.347, 6.765, 6.196, 17.281, 7.337, 13.276, 8.749, 16.009, 6.325, 33.372, 17.059, 6.124, 4.695]","[0, 1, 2, 3]","[1, 2]",False,"the following combos turn on the machine: 2,3,4,  2,3  1,2,3  1,2,3,4. Based on this, I think the rule is that the numbers must be sequential and have the number 2 in it.",conjunctive,conjunctive,True,48
5e92917cb554e90d387a37da,22.172,22.172,114.531,5,"[5.875, 3.969, 4.213, 5.449, 2.666]","[1, 2]","[1, 2]",True,If Object 2 and/or Object 3 are on the platform,disjunctive,disjunctive,True,17
5ecb0bb39b4189656f60872b,26.612,26.612,94.089,5,"[3.377, 3.163, 4.967, 7.097, 8.008]","[0, 1]","[0, 1]",True,Either Object 1 or Object 2 must be used.,disjunctive,disjunctive,True,16
5f76586f6ce6850f223a25ab,22.601,22.6,76.595,4,"[5.915, 8.539, 2.664, 5.482]","[2, 3]","[2, 3]",True,If it has Object 3 and/or 4 on it.,disjunctive,disjunctive,True,14
5fa9dab94f9d9c26d3db5226,62.372,62.372,138.798,4,"[31.98, 11.147, 11.927, 7.318]","[1, 3]","[1, 3]",True,The machine will turn on if Object 2 and/or Object 4 is on the platform.,disjunctive,disjunctive,True,15
6070fa4b22640f1d2b78c5a7,9.716,9.716,104.022,2,"[4.508, 5.208]",[],"[1, 2]",False,"I misunderstood the instructions. I thought it was the same as the practice round where if at least 1 Nexiom is on the machine, then the machine will turn on. I didn't do enough rounds to determine the rule.",conjunctive,conjunctive,True,10
609916ce82bc0800c9196cde,54.791,54.791,116.086,6,"[10.879, 10.429, 8.584, 6.453, 12.929, 5.517]","[0, 2]","[0, 2]",True,"If one or three are on the machine, they turn on. it does not have to be both of them.",disjunctive,disjunctive,True,23
60a1e1f4a3707c983a98f185,67.811,67.81,106.08,16,"[4.688, 3.76, 3.669, 3.149, 5.879, 6.342, 5.565, 5.294, 4.766, 3.056, 2.82, 3.099, 6.389, 3.155, 3.096, 3.083]","[1, 3]","[1, 3]",True,The machine switches on when you choose an object that's a Nexiom.,disjunctive,disjunctive,True,53
60b788ecd24b27bb39298936,112.063,112.063,167.515,15,"[18.736, 7.23, 4.696, 5.112, 13.269, 4.587, 4.549, 7.454, 3.344, 5.393, 9.578, 4.533, 5.277, 10.305, 8]","[2, 3]","[2, 3]",True,"Objects 3 and 4 must be on the platform to turn on the machine. Objects 1 or 2 can be on or off, it is irrelevant.",conjunctive,conjunctive,True,54
60bea43aa26919517334ed4a,82.806,82.807,225.095,8,"[6.447, 7.651, 9.772, 3.791, 15.154, 18.28, 8.149, 13.563]","[1, 3]","[1, 3]",True,2 and 4 are nexioms but both must be on the machine to power it. Excess objects can also be on the platform.,conjunctive,conjunctive,True,29
60db3cf3270edd7c9c7e0bd3,90.097,90.097,175.42,9,"[8.346, 7.236, 18.568, 7.44, 8.204, 22.533, 6.413, 5.711, 5.646]","[0, 3]","[0, 3]",True,I think object 1 and 4 are both half Nexioms and they both have to be active on the table for the machine to turn on.,conjunctive,conjunctive,True,32
60fcc292d13ae9614d4a77a7,30.657,30.657,84.753,5,"[5.962, 5.857, 4.43, 4.435, 9.973]","[1, 3]","[1, 3]",True,"When the machine had a Nexiom on it, it turned on.",disjunctive,disjunctive,True,15
60fd05fdd8f4081c41972a1b,58.501,58.501,205.271,6,"[29.023, 9.494, 4.515, 4.091, 6.907, 4.471]","[0, 3]","[0, 3]",True,The machine turns on if 1 and/or 4 are options,disjunctive,disjunctive,True,18
60fda57e0916dfe2157c9b00,96.221,96.221,173.196,16,"[3.151, 3.903, 2.835, 2.321, 2.359, 3.282, 2.353, 7.211, 3.362, 4.854, 2.52, 4.837, 4.194, 3.25, 36.684, 9.105]",[2],"[2, 3]",False,Object 3 has to be on the platform with two other objects on too for it to work.,conjunctive,conjunctive,True,55
60ff33eea57872b7188f12e2,35.543,35.542,91.329,6,"[5.284, 8.221, 3.38, 3.819, 4.657, 10.181]","[0, 2]","[0, 2]",True,The odd numbers turn on the machine and the even numbers don't.,disjunctive,disjunctive,True,20
6100b6365a3b961d941f7071,45.005,45.005,109.017,5,"[6.69, 9.231, 5.921, 18.984, 4.179]",[],"[1, 2]",False,None of these items turn on the Nexiom machine.,conjunctive,conjunctive,True,17
610329975d39376c37360d3c,26.828,26.827,68.577,6,"[3.697, 4.74, 3.589, 3.187, 6.262, 5.352]","[1, 3]","[1, 3]",True,I think anything with Object 2 or 4 will turn it on,disjunctive,disjunctive,True,22
610825355ae77bd1867d118e,44.999,44.999,166.772,10,"[5.33, 5.352, 3.883, 3.459, 3.635, 4.633, 4.431, 5.511, 3.325, 5.44]","[1, 2]","[1, 2]",True,"Object 2 and 3 need to be placed on the machine together. If they are placed on the machine separately, then it will not turn on.",conjunctive,conjunctive,True,28
610863156133d1485b80d389,22.841,22.841,77.48,5,"[6.75, 5.03, 2.744, 3.369, 4.948]",[0],"[0, 1]",False,"The one test I ran with Object 1 off, the machine was off",disjunctive,disjunctive,True,14
611098e0196fa40fa49f3aeb,122.067,122.066,197.037,12,"[80.331, 5.247, 3.904, 3.027, 6.78, 5.998, 3.189, 2.167, 2.207, 2.822, 2.664, 3.73]","[0, 3]","[0, 3]",True,All that matters is that at least one object that can power the machine is placed on the machine.,disjunctive,disjunctive,True,40
6122548871de12f3a454e5cb,16.944,16.943,74.671,4,"[4.014, 5.891, 3.173, 3.865]","[2, 3]","[2, 3]",True,Object 3 or 4 must be on the machine.,disjunctive,disjunctive,True,14
61522983a596d0aa25117787,35.345,35.346,136.518,5,"[11.129, 5.487, 4.147, 6.401, 8.182]","[2, 3]","[2, 3]",True,"I am not sure there is a specific rule, I just know that both objects which are Nexioms need to be placed on the machine",disjunctive,disjunctive,True,13
6154973c69da7c97996a19f6,165.288,165.287,348.208,15,"[4.178, 8.183, 3.626, 3.563, 5.716, 4.09, 6.252, 9.045, 4.871, 28.077, 4.506, 29.3, 15.646, 27.746, 10.488]","[1, 3]","[1, 3]",True,"I think that as long as 2 and 4 are both selected, the machine will turn on.",conjunctive,conjunctive,True,47
6234e9c483c8aa1f1c5f046a,41.078,41.078,139.587,6,"[8.619, 4.15, 13.598, 3.928, 3.864, 6.919]","[0, 3]","[0, 3]",True,Objects 1 and 4 turn the object on,disjunctive,disjunctive,True,16
62740f4f578f0114e649016d,49.649,49.65,113.969,8,"[8.723, 6.802, 8.375, 7.581, 3.573, 3.701, 4.696, 6.199]","[1, 2]","[1, 2]",True,"This seems to require both Object 2 and Object 3 at the same time to turn on, indicating that together they are a Nexiom, or perhaps they are each Nexioms.",conjunctive,conjunctive,True,30
628eab48a8c8dc1ecec338dd,60.949,60.949,129.408,7,"[8.402, 13.765, 5.854, 9.787, 12.391, 3.524, 7.226]","[0, 1]","[0, 1]",True,"When either object 1 or object 2 is added, the machine turns on",disjunctive,disjunctive,True,18
62a0b34cbcc5987a8fa73c39,11.153,11.154,104.436,2,"[6.297, 4.857]",[3],"[1, 3]",False,Object 4 must be on the machine,conjunctive,conjunctive,True,7
62a779f845a7840040d41bf8,42.752,42.752,152.389,8,"[4.181, 7.471, 3.782, 4.314, 3.443, 8.563, 5.431, 5.567]","[1, 3]","[1, 3]",True,Object 2 and Object 4 need to both be on the machine in order for the Nexiom machine to turn on.  It does not work with Objects 1 and 3.,conjunctive,conjunctive,True,28
62e42aaad0079d2ff8e97597,23.153,23.152,87.726,4,"[5.914, 5.858, 4.88, 6.5]","[0, 2]","[0, 2]",True,Objects 1 and 3 turn on the machine. The other two objects do not.,disjunctive,disjunctive,True,12
