rank,user_id,num_tests,action_history_length,time_per_test_seconds,total_test_time_seconds,exploration_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
1,664cfc36d05e1ed37dd9f91e,3,13,"[4.918, 9.286, 7.712]",21.916,21.916,108.642,"[2, 3]","[2, 3]",True,"If a nexiom is on the machine, then the machine turns on.",disjunctive,disjunctive,True
2,667b4043a7f74c3ff540a60d,4,12,"[10.693, 3.805, 4.359, 4.239]",23.096,23.095,116.871,"[2, 3]","[2, 3]",True,Numbers higher than 2 turn on the Nexiom machine.,disjunctive,disjunctive,True
3,66e0bc36ad31c37654af5fc8,4,15,"[8.057, 8.302, 7.169, 6.64]",30.168,30.167,158.33,"[0, 1]","[0, 1]",True,The first two are Nexioms,disjunctive,disjunctive,True
4,5fa9dab94f9d9c26d3db5226,4,15,"[31.98, 11.147, 11.927, 7.318]",62.372,62.372,138.798,"[1, 3]","[1, 3]",True,The machine will turn on if Object 2 and/or Object 4 is on the platform.,disjunctive,disjunctive,True
5,5f76586f6ce6850f223a25ab,4,14,"[5.915, 8.539, 2.664, 5.482]",22.6,22.601,76.595,"[2, 3]","[2, 3]",True,If it has Object 3 and/or 4 on it.,disjunctive,disjunctive,True
6,6122548871de12f3a454e5cb,4,14,"[4.014, 5.891, 3.173, 3.865]",16.943,16.944,74.671,"[2, 3]","[2, 3]",True,Object 3 or 4 must be on the machine.,disjunctive,disjunctive,True
7,5e3b759740e302397f294a2d,4,14,"[12.801, 7.902, 3.116, 3.863]",27.682,27.682,124.208,"[0, 3]","[0, 3]",True,If either object 1 or object 4 are on the platform it will turn on,disjunctive,disjunctive,True
8,62e42aaad0079d2ff8e97597,4,12,"[5.914, 5.858, 4.88, 6.5]",23.152,23.153,87.726,"[0, 2]","[0, 2]",True,Objects 1 and 3 turn on the machine. The other two objects do not.,disjunctive,disjunctive,True
9,65006ac193352f62ba59a095,4,16,"[27.741, 5.921, 9.061, 4.447]",47.17,47.17,166.267,"[0, 1]","[0, 1]",True,Only nexioms hold power,disjunctive,disjunctive,True
10,6473bd2d95a488b826bc24c4,4,12,"[5.162, 5.684, 3.228, 2.592]",16.666,16.666,82.319,"[2, 3]","[2, 3]",True,Objects 3 and 4 are Nexioms.,disjunctive,disjunctive,True
11,669abec15946546f5a97a5ff,4,11,"[7.359, 8.989, 3.513, 3.402]",23.263,23.262,122.066,"[1, 2]","[1, 2]",True,Inner objects are nexioms.,disjunctive,disjunctive,True
12,67758b914f06b14a31669644,4,11,"[5.979, 5.229, 15.319, 11.855]",38.382,38.383,118.349,"[1, 3]","[1, 3]",True,Only even number objects turn it on,disjunctive,disjunctive,True
13,5bdc6d16d9bc4e0001134779,4,11,"[4.42, 7.228, 4.363, 5.215]",21.226,21.226,64.666,"[0, 1]","[0, 1]",True,When item 1 or 2 is placed on the platform the machine turns on,disjunctive,disjunctive,True
14,668ac4c1b3549e7f656154d4,4,12,"[4.117, 3.847, 5.786, 2.866]",16.616,16.616,64.762,"[0, 3]","[0, 3]",True,"If a Nexiom is on the machine, it turns on.",disjunctive,disjunctive,True
15,589f4b4b4d580c0001e0a155,4,12,"[10.856, 4.967, 5.4, 2.939]",24.162,24.162,72.69,"[0, 2]","[0, 2]",True,Odd numbered objects turn on the NExiom machine.,disjunctive,disjunctive,True
16,667984ded209db9088acaf30,4,9,"[4.513, 7.495, 4.186, 6.77]",22.964,22.965,68.217,"[0, 3]","[0, 3]",True,End objects are nexioms,disjunctive,disjunctive,True
17,5e92917cb554e90d387a37da,5,17,"[5.875, 3.969, 4.213, 5.449, 2.666]",22.172,22.172,114.531,"[1, 2]","[1, 2]",True,If Object 2 and/or Object 3 are on the platform,disjunctive,disjunctive,True
18,5ecb0bb39b4189656f60872b,5,16,"[3.377, 3.163, 4.967, 7.097, 8.008]",26.612,26.612,94.089,"[0, 1]","[0, 1]",True,Either Object 1 or Object 2 must be used.,disjunctive,disjunctive,True
19,63614a372fef8174fe8363f1,5,15,"[7.064, 7.131, 8.069, 3.813, 6.552]",32.629,32.629,103.497,"[2, 3]","[2, 3]",True,"I don't know, they just do?",disjunctive,disjunctive,True
20,672cb8ccdb8232e7fee580ed,5,21,"[4.157, 5.935, 4.536, 5.288, 16.632]",36.548,36.547,112.305,"[0, 2]","[0, 2]",True,Every other button,disjunctive,disjunctive,True
